Video ID,Author,Comment,Label
2MYQBaog-d4,@BehaMehmeti-lm5mr,vetum bajmi ni krahsim enver hoxhen nat koh shu veshtirdhe edi ramen ky medel shpijn vuqiqit,0.0
2MYQBaog-d4,@bardhasulovari6090,bravo respekt,0.0
l2TYc4sf9dw,@frederik9861,gjergjo paske hik per lesh harapi dhjefsha drejtesine rames felaj kompania vidh mashtro popullin se lekure po vetem rripeni qe behet patronazhiste ty gjergj,1.0
HxuCXIgilFc,@spiro7087,cfare behet o njerez cfare llozhura mbeturina plehra shqiperiaartani shume drejtepor ai eshte nje sahan lepiresi beleritnuk njeri tjeter per kryetare bashkisekush eshte beleritpo himarjotet jane koke gomari egoistedhe mendojne se ato qe thote belerit do beje gjithapor ai qe ishte perpara vodhi kaq shumesa imagjinojne asnjenjerinuk ndonje djale rrite zgjuar shkollusreme kulturese nevoje bregu per njerez pasterjo hajdute jo genjeshtareeee,1.0
l2TYc4sf9dw,@arlindademiraj6302,ndrek luca,0.0
d8eRvVLfsnI,@alfonskocibeli9527,bravo sako kv qershi vola fare korce,0.0
8e1U-sfyaXs,@edmondbardhi9161,bravo vëlla zoti bekoft,0.0
y-5Vl61eZmY,@user-qp6gr6ch8u,fuksi enver hoxhës,1.0
HxuCXIgilFc,@zefdokaj5001,ahoxha gjithe ata tjeret ci jane aty shpifin emisionin tyre bajne vetem per leke shpifura,0.0
2MYQBaog-d4,@vasilisvamame575,greqise tha qe kur do na mbaroje buka hap kufijte se do vdesim urija sa per armet do perdoren kundra greqise por qe vritemi njeri tjetrin keshtu ndodhi,0.0
HxuCXIgilFc,@SilviaMb-lq2yh,bravoooo tan hoxha o vlla do le vlora himarennuk trembet ky miu ne duare pista do bejm akoma pista per kta kelysha ky plerai bejm duarte pis krenari per himaren tone bukur,0.0
2MYQBaog-d4,@blenditopuzi2408,ke drejte zoteri enveri qenë burr jo kta maskarenjte qe shiten shqiperine,1.0
jOI5vUWJbPk,@theillyrians1,o dy për burg meta berisha,0.0
d8eRvVLfsnI,@ragemp3921,pano petllat ujë,0.0
8e1U-sfyaXs,@GShala-jl8lx,kurxha jon dy vite pak jon dymbdhe osht dasht mbain,0.0
l2TYc4sf9dw,@dardaniaantike6959,gjergj luca ooo burre bjer ne karremin antinacionalisteve antimalsoreve ma shkurte antigegeve qe do thote antirranjve tuaburrin madhe artit kultures shqiptare ndrek lucen njofte personalishtedhe shume sigurt qe babai yte dashte ma shume sali berishen se sa ty,0.0
2MYQBaog-d4,@andibleta4769,qenka shoku xhaxhit enver,0.0
gnq_bShXo60,@asim9145,urime zoti avokat,0.0
HxuCXIgilFc,@ShefqetNikqi-zt2up,ore shkerdhatat qmendur kafshet brina qelbesirat evropes degjeneruemit ndjenja njerzore grit vrat dogjet po vdisni uria po ju vjen fundi shkerdhat mjer,1.0
CMPqrA5suRo,@lorenchasrama7700,anet tona thuhet mir beri enveri qe shpalli mehmetin armik pas vdekjes,0.0
zPRIW50IYGU,@D.N.GlobalConsulting,lezetshem,0.0
l2TYc4sf9dw,@linditamacuku9212,sali berisha futur ne sherr prinderit femijet eshte pafalshme ky eshte kulmi poshtersi se marrofte zoti marrofte keq se marruar sali berisha eshte perbindesh,1.0
CMPqrA5suRo,@PashkZefgjergji,mjr popull kush po drejton cdo gja esht shum djers,0.0
nVeCIbiouUk,@ulkonja,ai eshte nje kokerr maskarai seshte njeri njeri se mbeshtesin ne himare njelloj siç eshte berisha,1.0
JD-tAYIpgaA,@Niku-lo5ws,avokati llafazan mashtrues ish sigurims spiun,1.0
2MYQBaog-d4,@lolilolilol8057,ishte burr shteti ai,0.0
l2TYc4sf9dw,@DyKrena,lumte goja shumë tjer duhet rëfehet ju gjergji lucaqë kan frikë ky monster,1.0
gG62Vu4qwsk,@sbpresaspaho5894,o klodi veshte ky pseudo grekboll keta qe duan zor behen çfar sjane keta jane anti shqiptare artani klodi numero uno complimenti,1.0
HxuCXIgilFc,@anilacela9163,bravo z artan hoxha,0.0
j7gBiTH3DIg,@microwave12345,ma pari asht berisha ci than per djegjen madateve po ju se nepni po ksyrni se kini rregjistrum po kan than mo trasportoni ma,0.0
c7b74Ex-kCA,@elsadcukali4801,ca bani kombit shqiptar ilir meta vodhi coptoi,0.0
8e1U-sfyaXs,@arsenkasemi3668,ky qenka burr zotri po po femra laviri jetohet shtyhet po tejet gruja mir rregullt familja dojet bashkume turp per grun jan ber grat digjenerume zoti prift mar mor shok brrravo gazetarit,1.0
8e1U-sfyaXs,@ateaspaho691,po nrm qe do dilte njeri kushedi cfare kane pare sytw ty gruas femijevedhe beni ye fortw grate pastaj beni gnynafqare,0.0
CMPqrA5suRo,@bilsonyzeirai1824,kush president o mashtrus o legen,1.0
c7b74Ex-kCA,@DhurataMeleqi,meta pergatitur flet shume mirepse flisni cfare ben rama,0.0
l2TYc4sf9dw,@mbajeveten2401,o legen luca ato prona qe mendon se jan tuat ne fakt jane tonat jan popullit,1.0
WDk0jy-CiLs,@gencigenci,po ore pose sot lexoni fare,0.0
st4nul77_Oc,@fadilsula6992,respect,0.0
c7b74Ex-kCA,@guriecera4123,boboboooo cfare mafie tmerrrshmeqe deri sot kera dy felliqsiraaaaa qe vjen era hale duke vjedhur dmth ha ben mtmafjemafje vetem nje pyetje o kryemadhe metaj ku gjeten miljon ero per vilen gjyrit lalsit leme tjeratgjak ju befshin parate popullit ne gjithe familen ju dalshin per hundesh o ilir floriri qe thote sali berisha,1.0
l2TYc4sf9dw,@user-kc8cd9uh5f,o gazetar o pederast plak se tallesh tjetrin o legen,1.0
y-5Vl61eZmY,@boral4794,gjithë shqiptarët punojnë kanë punuar jetë tërë por skanë bukë hanë kur vjen fundi muajit,0.0
_66eRcxv4Fk,@tatajucja8942,madhi zot krijuar mashkullin femrën dy së bashku krijojnë familjenështë haram lindësh fëmijët krijim artificial,0.0
YhRDIGr3Ag0,@Liam-fy1eq,mjafte keto bla bla bla bla duket macja qe kacavjerret xhami,0.0
y-5Vl61eZmY,@rozaruci4387,o avokat perveç burgut tu sekuestrohen gjitha pasurit eshte deshira popullit,0.0
PUyqWp5V3sE,@florishuti6528,di tithem tanit aman o burr kur shikon do tipa trupi burra duken burra sepse njeriun shikoje koka po epave qe esht kalama futja noj barcolet per qat nat mbylle shkurt emisjonin,0.0
J5Cg86mX9kc,@user-bg4qw1gl2g,çamëria është karat shipëtare,0.0
l2TYc4sf9dw,@bexhetzykollari5731,bravo rrespekte,0.0
l2TYc4sf9dw,@engjellushepajova5200,dëgjova vëmendje burrë mençur kurajoz drejtpërdrejtë sikur shqipëria shumë lumtë z luca hecte mbare,0.0
c7b74Ex-kCA,@sabithoxha694,sa shume degjon aq shume neverri vjen per keto fytyra palavosish kuçka ngjyrosura aq keq ardhje per popullin mjerre,1.0
PUyqWp5V3sE,@lucianopiza404,djegshin pervelofshin kurv greke,1.0
PUyqWp5V3sE,@taulantahmetaj48,esht fytyr idegjenurim spranon fare per shqiperin,1.0
J5Cg86mX9kc,@tomtomy977,ky emisioni kesaj pleres gjithmon ben emision anti shqiptar duhet zhdukur plera,1.0
HxuCXIgilFc,@elisbacelli6230,do vije dita qe tradhetaret vatanit do paguajn,0.0
HxuCXIgilFc,@dritanblloshmi5814,ylli rropte ku keshe qe therrete ata grekete kurves ne telvizionin shiptar,1.0
c7b74Ex-kCA,@cmbrn8315,keta dy vjet korupcion vjedhje haptasi po kqi se kta vet qe konsiderojme kete krim,0.0
HxuCXIgilFc,@lumturikellezi5370,mor ky hoxha eshte nje gazetar idiot kujt verter psikopat,1.0
zPRIW50IYGU,@amarildalaloti1574,baba rama gjigand fare esht rujt zotibishishaeshqpieris edhemandati tert joti eshtbesoj,0.0
l2TYc4sf9dw,@GwywVaw,gje gjergjin po esht drejt gjergji jorgali stegopul,0.0
yhNUAnnIcMo,@osumiosumi3624,mire thote se po flene akoma veje kape per veshi nxiere perjashta,0.0
WDk0jy-CiLs,@Renaldo_Bregu,ore xhirimin saliun kush ja beri ngjeles se ngjela marre persiper cimken regjistrimit,0.0
-cxDsZlfQQo,@ge5585,ilir meta,0.0
c7b74Ex-kCA,@agimmoriseni,ehhcizmja ishte per arta markun por perpabesine rames qe firmos listen vet nderkoh qe rene dakord tre palet firmosninsdi cfar fryni nvesh rames usa ai firmosi per korruptuarit ps ne administraten shtetrore,0.0
HxuCXIgilFc,@Iselfff,bravo tani qij robt grekut,1.0
l2TYc4sf9dw,@user-ni8ok3jq7n,lumte goja o gjergj,0.0
2MYQBaog-d4,@sotirgjika2581,ky thote ashtu sic kane qene gjerratenveri berri shtet tani shteti eshte bere qendrushem,0.0
9ivr3YoZmCo,@user-ti4xh7fz6y,kta pdse jane shume trima,0.0
xzIKCYl4z38,@user-nu1cf1sv2k,bëj thirrje spakut arrestojë këta plehra dalin në media shajnë ofendime përse pyesin palaço largohej pd mbaruarë mandati qeveritar shkoj ke rama tani del kritikon ramën ky hajdut ordiner duhet largohet politika votaduhet distancohet populli këta maskarenj profesjonist,0.0
D3_B8kKmUjc,@jahjanameti8282,duhet themi shyqyr qe murrizin shikojme televizion televizion rendesi cfare thuhet rendesi cfare shikohet murrizin duhet ruajme ujet ftohteah sikur kishim disa mutriza tjere,0.0
l2TYc4sf9dw,@DirtySouthAlboz,aj qe ndihmove na pruni grekun mrenda tash shkaun,1.0
gnq_bShXo60,@user-qk1ml6wm4y,o h këta juaj tanët duhen varur midis tirane gjith dallim,0.0
HxuCXIgilFc,@DajnoCC,njesh o tani,0.0
J5Cg86mX9kc,@Varfaj.Mirela,bekofte zoti gjifhe camerit kudo qe jane,0.0
9ivr3YoZmCo,@paqizecarcani5669,o avash rakipllari ber karagjoza qe gjith,1.0
2MYQBaog-d4,@arbenshabani113,genjeni se un zona kufitare po skam pat arm,0.0
HxuCXIgilFc,@mehedixhahysa-bi3lq,brava artan elio at kar flasi,0.0
l2TYc4sf9dw,@rrv5454,lluca lodhur bythen esht ber pasha ramen po udheheq rozafen keshtu hajduteria ne politik,1.0
HxuCXIgilFc,@lozman7217,super hazetar zoti hoxha,0.0
l2TYc4sf9dw,@julianamukades,edi rama ësht njëritani le zgjedhë drejtësija,0.0
sBuYrv_W1hM,@redonmati2404,himara eshte toke shqiptare pike,0.0
WDk0jy-CiLs,@saimirgjoni669,mut njri kak tjetri ju dhjefsha emissionin dhjefsha televisionin jepni asnje moral kesaj shoqerie plaku plaka njerez felliqur po na tregoni perralla ketu sdi jua lejon ndergjegja dilni neper televizione ptuuuuuuuuu ptuuuuuuu dy beni per vjelle,1.0
xzIKCYl4z38,@almasalihasi2944,fal fal ne angli gradacelat tjerve shikon gradacelat etij shikon,0.0
y-5Vl61eZmY,@stamatisbond7458,sharove o avukat kpute fare,1.0
PUyqWp5V3sE,@theeagle6524,o tan kapi qij ne bydh,1.0
xzIKCYl4z38,@muratshehu18,lenia mandateve opozites saliilir be per çuar tej ligjet reformes ne drejtesi qe po çojne ne burg saliun ilir meten paska qene dakord kryehajduti ilir meta skrapari,0.0
DO6VjP2rIu8,@gencione10,para gje katandis aq keq sa populli filloj kerkonte prap enver hoxhen ne pamundesi zhjodhen ty z rama deri sot ke çuar gjerat akoma keq sa populli po kerkon sali berishen no differencemuti kaka kaka muti thon gjyshja ime,1.0
c7b74Ex-kCA,@ismenamemo4862,mund lihen liremandje bejn propagand ne tel meruni pasurit futini aty ku dalin se ja kan nxirepopullit jetendhe na kan turpnuar,0.0
CMPqrA5suRo,@user-ef8mu3kl6q,ore beqirhajdut jese ke zhvatur parate njerezve qe gjoja mbroje avokatine tendeduke genjyerkur kerkonin njerezit qe kishe marre parateti fshiheshe dilje meti nje hajdut mashtrues,1.0
zPRIW50IYGU,@mpoint4736,rroni vete rastin vendosjes se luleve,0.0
CMPqrA5suRo,@user-xt2mf7dg2q,miletit intereson sekuestrohen gjitha jo burgu se dime bejne burgun ketaaa dyta duhet largohet vendi haje parate vjedhuraaaaa,0.0
VJKFRs1xGe8,@AB-ne3sf,curi eshte bere leshtë curit sa ne nje studio në tjetrën marr per ky loloja çanit,0.0
jOI5vUWJbPk,@user-ck8wn8by2e,o idetë ceahte ky rrypqe flet kështu,1.0
